Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;
2018733;187905;WKA-Hauptgetriebe;315;;Addinol Eco Gear 320 S;2014-09-18;2012-07-11;;;;;;;156;ppm
1832563;187905;WKA-Hauptgetriebe;315;;Addinol Eco Gear 320 S;2013-10-11;2012-07-11;;;;;22157;h;256;ppm
1915079;187905;WKA-Hauptgetriebe;315;;Addinol Eco Gear 320 S;2014-03-07;2012-07-11;;;;;25299;h;284;ppm
2065714;261087;WKA-Hauptgetriebe;340;l;Addinol Eco Gear 320 S;2014-11-28;2012-07-09;3;l;;;;;213;ppm
1879532;261087;WKA-Hauptgetriebe;315;;Addinol Eco Gear 320 S;2014-01-14;;;;;;53809;h;235;ppm
1990626;261087;WKA-Hauptgetriebe;340;l;Addinol Eco Gear 320 S;2014-07-16;2012-06-05;;l;16681;h;57898.4;h;317;ppm
1176909;264413;WEA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2010-01-27;2007-04-18;;;;;120806;h;91;ppm
1029897;264413;WEA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2008-12-16;2008-07-20;;;1970;h;113309;h;98;ppm
1110936;264413;WEA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2009-07-30;2008-08-29;;;;;110780;h;190;ppm
1376831;264435;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2011-05-24;2010-01-05;;;;;117411;h;127;ppm
1674983;264435;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2013-01-07;2010-01-05;;;;;129908;h;152;ppm
1445838;264435;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2011-10-26;2010-01-05;;;;;121130;h;176;ppm
1574118;264435;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2012-07-05;2010-01-05;;;;;126347;h;183;ppm
1238910;264435;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2010-07-02;2010-01-05;;;;;;;242;ppm
1315308;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2011-01-12;2006-12-20;;;;;133298;h;111;ppm
993711;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2008-11-26;2006-12-20;;;;;115364;h;134;ppm
