Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;Dimension
1919519;717899;Wind turbine - main gear;470;;Mobil Mobilgear XMP 320;2014-03-17;2013-05-10;;;;;;;78;ppm
2019429;409687;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-09-08;2013-07-02;;;;;;;79;ppm
1849868;534214;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-11-14;;;;21939.78;h;21939.78;h;79;ppm
2090074;428273;WKA-Hauptgetriebe;500;l;Mobil Mobilgear XMP 320;2015-01-14;2012-09-12;20;l;;;;;80;ppm
2018961;328275;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-27;2013-10-24;;;43716000;kWh;57679;h;80;ppm
2036190;396894;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-10-17;2014-04-10;;;;;;;80;ppm
868916;265817;WEA-Hauptgetriebe;170;;Mobil Mobilgear XMP 320;2007-11-20;2003-01-01;;;;;28883;h;81;ppm
2049098;609473;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-11-06;2014-10-16;;;198983;kWh;304;h;81;ppm
2091439;392007;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-15;2013-05-01;;;44193000;kWh;39233;;82;ppm
1860182;726494;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2013-12-06;2013-05-16;;;;;;;82;ppm
2019424;409689;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-09-08;2013-07-01;;;;;;;82;ppm
2019425;410597;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-09-08;2013-07-03;;;;;;;82;ppm
2091440;392015;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-15;2013-05-01;;;44810000;kWh;40909;;83;ppm
2044300;549082;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-10-21;2014-04-04;;;;;;;83;ppm
2091443;392018;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-15;2013-05-01;;;28336000;kWh;16362;;84;ppm
