Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;Dimension
1999763;405588;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-05;2014-08-04;;;24;h;47011.74;h;134;ppm
1999768;405583;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-07;2014-08-06;;;24;h;46608.96;h;134;ppm
2019682;409688;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-09-08;2013-07-01;;;;;;;135;ppm
2097339;328276;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-18;2013-10-24;;;;;61435.8;;135;ppm
2107607;549091;WKA-Hauptgetriebe;320;;Mobil Mobilgear XMP 320;2015-02-18;2013-10-29;;;;;;;135;ppm
2037927;422057;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-10-13;2014-05-15;;;;;38368;h;135;ppm
2049062;726520;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-11-05;2013-06-14;;;;;;;136;ppm
2039493;716524;WKA-Hauptgetriebe;500;;Mobil Mobilgear XMP 320;2014-10-21;2013-07-01;;;;;;;136;ppm
2054379;713798;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-09-30;;;;5542000;kWh;10374.85;h;136;ppm
2054377;713799;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-09-19;;;;6678000;kWh;10868;h;136;ppm
2024360;229176;Énergie éolienne ligne - engrenage principale;425;l;Mobil Mobilgear XMP 320;2014-05-06;2013-01-25;;l;;;;;137;ppm
2049070;726500;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-11-05;2014-05-31;;;;;;;137;ppm
2063401;428228;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-11-21;2014-06-11;;l;3318;h;37912;h;137;ppm
2049056;726513;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-05;2014-05-29;;;;;;;138;ppm
1967717;431451;Wind turbine - main gear;320;;Mobil Mobilgear XMP 320;2014-05-21;2012-06-01;;;11843000;kWh;32401;;139;ppm
2017454;477894;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2014-09-01;2013-07-11;20;l;306420;kWh;54020.5;h;139;ppm
1890527;392015;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;;2013-08-27;;;14427;kWh;;;139;ppm
2073572;289846;WKA-Hauptgetriebe;425;;Mobil Mobilgear XMP 320;2014-12-03;2013-10-15;;;;;;;139;ppm
1974959;328273;Wind turbine - main gear;340;l;Mobil Mobilgear XMP 320;2014-06-26;2013-10-23;60;l;;;;;139;ppm
1979263;198840;Wind turbine - main gear;425;;Mobil Mobilgear XMP 320;2014-07-03;2014-06-12;;;671090;kWh;65247.4;;140;ppm
2027645;208206;Wind turbine - main gear;300;;Mobil Mobilgear XMP 320;2014-09-24;2014-06-13;;;199709;kWh;62970.5;h;140;ppm
1999771;534211;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-08;2014-08-07;;;24;h;28894.82;h;140;ppm
2064597;609474;Wind turbine - main gear;380;;Mobil Mobilgear XMP 320;2014-12-01;;;;15304000;kWh;17139;h;140;ppm
2054378;718598;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2014-09-29;;;;8023000;kWh;10422.71;h;140;ppm
1885059;549082;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-01-14;2012-04-23;;;;;;;141;ppm
2071841;522098;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-12-05;2012-12-10;;l;28384;;38750.54;h;141;ppm
1941340;208223;Wind turbine - main gear;280;;Mobil Mobilgear XMP 320;2014-04-23;2013-04-15;;;;;;;141;ppm
2024356;229175;Énergie éolienne ligne - engrenage principale;425;l;Mobil Mobilgear XMP 320;2014-05-07;2013-11-25;;l;;;;;141;ppm
2049063;726494;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-05;2014-05-27;;;;;;;141;ppm
2063400;428230;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-11-19;2014-06-12;;l;2367;h;37979;h;141;ppm
2019681;409686;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-08;2013-07-02;;;;;;;142;ppm
2054343;409688;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-07;2013-07-17;;;;;;;142;ppm
1855018;328273;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-11-25;2013-10-24;;;;;51058;h;142;ppm
2049058;726511;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-05;2014-05-27;;;;;;;142;ppm
2068096;198840;Wind turbine - main gear;425;l;Mobil Mobilgear XMP 320;2014-11-27;2014-06-12;20;l;700530;kWh;68297.8;h;142;ppm
1837215;123598;WKA-Hauptgetriebe;60;;Mobil Mobilgear XMP 320;2013-10-29;2013-10-29;;;;;;;143;ppm
1934011;396894;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-04-10;2014-04-10;;;;;;;143;ppm
2074977;726508;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-12-15;2014-05-29;;;;;;;143;ppm
2022782;217477;Wind turbine - main gear;425;;Mobil Mobilgear XMP 320;2014-09-12;2014-09-08;;;652100;kWh;63448.9;h;143;ppm
2038276;608187;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-10-13;;;;14853000;kWh;14853000;kWh;143;ppm
2105281;740193;WKA-Hauptgetriebe;340;;Mobil Mobilgear XMP 320;2015-02-09;;;;12006;;12006;;143;ppm
2054346;409687;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-07;2013-07-17;;;;;;;144;ppm
2024358;229177;Énergie éolienne ligne - engrenage principale;425;;Mobil Mobilgear XMP 320;2014-04-30;2013-11-26;;;;;;;144;ppm
2049059;726495;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-05;2014-05-31;;;;;;;144;ppm
2006883;430684;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-08-25;2014-08-22;365;l;;;42827;h;144;ppm
1861857;154933;Wind turbine - main gear;390;;Mobil Mobilgear XMP 320;2013-11-27;2011-02-01;;;;;;;145;ppm
1990739;522098;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-07-23;2012-12-10;20;l;;;23875000;kWh;145;ppm
1936413;405583;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-03-19;2013-02-06;;;4486;h;43469.48;h;145;ppm
1974837;568663;Wind turbine - main gear;425;;Mobil Mobilgear XMP 320;2014-06-26;2013-06-27;;;27100;h;32746;h;145;ppm
2054332;405583;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-10-14;2014-01-01;;;28528000;kWh;48513;;145;ppm
1972730;132515;Wind turbine - main gear;300;;Mobil Mobilgear XMP 320;2014-06-11;2014-06-11;;;18831000;kWh;70232000;kWh;145;ppm
1983124;229176;Énergie éolienne ligne - engrenage principale;425;;Mobil Mobilgear XMP 320;2014-05-27;;;;48145;kWh;58770;kWh;145;ppm
2003561;549091;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2014-08-25;2010-08-29;;;;;;;146;ppm
2054338;409693;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-07;2013-02-14;;;;;;;146;ppm
1967721;392015;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;40755000;kWh;37038;;146;ppm
1983123;229174;Énergie éolienne ligne - engrenage principale;425;;Mobil Mobilgear XMP 320;2014-06-02;;;;11409;kWh;13593;kWh;146;ppm
1983121;229175;Énergie éolienne ligne - engrenage principale;425;;Mobil Mobilgear XMP 320;2014-05-28;;;;10473;kWh;12877;kWh;146;ppm
2031803;695966;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-09-22;;;l;11208;h;11208;h;146;ppm
1849885;405583;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-11-04;2012-03-12;;;7454000;kWh;23350000;kWh;147;ppm
1967793;392009;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;1406000;kWh;1526;;147;ppm
1967718;392021;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;14238000;;12531;;147;ppm
2016465;609464;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-09-15;2014-03-28;;;2890000;kWh;3095;h;147;ppm
2074978;726490;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-12-15;2014-05-28;;;;;;;147;ppm
2027644;208211;Wind turbine - main gear;300;;Mobil Mobilgear XMP 320;2014-09-30;2014-06-13;;;161935;kWh;8107.4;h;147;ppm
2007092;208213;Wind turbine - main gear;280;;Mobil Mobilgear XMP 320;2014-08-21;2014-08-20;;;;;;;147;ppm
1844822;399993;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2013-11-09;;20;l;16625;;16747;;147;ppm
1952513;428252;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-05-22;2012-04-01;;;;;;;148;ppm
1936415;405582;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-03-21;2013-02-06;;;4786;h;43343.4;h;148;ppm
2097340;328275;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2015-01-21;2013-10-24;10;l;;;61172;h;148;ppm
2049046;726490;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-11-05;2014-05-28;;;;;;;148;ppm
2049048;726508;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-11-05;2014-05-29;;;;;;;148;ppm
1844613;441304;Wind turbine - main gear;320;;Mobil Mobilgear XMP 320;2013-10-21;2012-06-01;;;12089;h;38342;h;149;ppm
1967797;392012;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;38479000;kWh;37327;;149;ppm
1936986;100452;WKA-Hauptgetriebe;300;;Mobil Mobilgear XMP 320;2014-04-25;2014-02-25;;;1440;h;125165;h;149;ppm
2049060;726518;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-04;2014-05-23;;;;;;;149;ppm
2041055;431441;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-10-15;2014-09-25;;;308;h;32634;h;149;ppm
1983125;229177;Énergie éolienne ligne - engrenage principale;425;;Mobil Mobilgear XMP 320;2014-06-03;;;;10494;kWh;12948;kWh;149;ppm
1911686;334358;Wind turbine - main gear;300;;Mobil Mobilgear XMP 320;2014-03-13;;;;23219;kWh;47892;kWh;149;ppm
1849870;534211;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-11-18;;;;18561000;kWh;22735.75;kWh;149;ppm
1948491;706145;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2014-05-09;;;l;3949;;3949;;149;ppm
1967726;392018;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;38917000;kWh;34895;h;150;ppm
2044010;549070;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-10-21;2014-04-03;;;;;;;150;ppm
2078518;534211;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-20;2014-08-12;;;2535000;kWh;28313.93;h;151;ppm
1886198;737065;WKA-Hauptgetriebe;500;l;Mobil Mobilgear XMP 320;2013-11-02;;20;l;4477;h;4477;h;151;ppm
2006367;752911;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2014-08-13;;320;;7204;kWh;;;151;ppm
1926809;210035;Wind turbine - main gear;240;l;Mobil Mobilgear XMP 320;2014-03-17;2009-02-23;10;l;9654988;kWh;9654988;kWh;152;ppm
1829094;132700;WKA-Hauptgetriebe;310;;Mobil Mobilgear XMP 320;2013-09-19;2011-07-20;;;26;M;101364;;152;ppm
1954208;208253;Wind turbine - main gear;425;;Mobil Mobilgear XMP 320;2014-05-21;2012-11-13;;;464060;h;60886.4;h;152;ppm
1971236;123598;WKA-Hauptgetriebe;60;;Mobil Mobilgear XMP 320;2014-06-26;2013-10-29;;;;;;;152;ppm
2054333;405582;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-10-08;2014-01-01;;;71809000;kWh;41958;;152;ppm
1960019;726518;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-05-23;2014-05-23;;;25784000;kWh;22436000;kWh;152;ppm
2078490;534217;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-20;2014-08-11;;;22789000;kWh;27907.86;h;152;ppm
1936315;444963;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-04-11;2012-06-01;;;9968000;kWh;12931;;153;ppm
1858968;313263;WKA-Hauptgetriebe;370;;Mobil Mobilgear XMP 320;2013-11-20;2013-05-30;;;;;49524;h;153;ppm
1960020;726490;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-05-28;2014-05-28;;;22068000;kWh;21770000;kWh;153;ppm
1985564;428229;Wind turbine - main gear;450;;Mobil Mobilgear XMP 320;2014-07-16;2014-06-11;;;;;36000;;153;ppm
2007093;208200;Wind turbine - main gear;280;;Mobil Mobilgear XMP 320;2014-08-21;2014-08-20;;;;;;;153;ppm
1844609;431445;Wind turbine - main gear;330;;Mobil Mobilgear XMP 320;2013-10-24;2012-06-01;;;7487000;kWh;40906;kWh;154;ppm
2049049;726501;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-04;2014-05-26;;;;;;;154;ppm
2049055;726519;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-04;2014-05-26;;;;;;;154;ppm
1960023;726487;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-05-28;2014-05-28;;;22068000;kWh;21770;kWh;154;ppm
2054390;405587;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-10-15;2014-07-01;;;28659000;kWh;48762;h;154;ppm
1885070;549070;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-01-14;2012-04-23;;;;;;;155;ppm
1884740;437424;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2013-12-10;2012-06-20;40;l;;;9742.96;h;155;ppm
1990738;522098;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-07-26;2012-12-08;20;l;;;36397.8;;155;ppm
1918055;328275;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-03-18;2013-10-24;400;l;;;;;155;ppm
1960028;726513;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-05-29;2014-05-29;;;21487000;kWh;21191000;kWh;155;ppm
2037916;634989;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-10-16;2014-10-13;;;6111;kWh;30;h;155;ppm
1960032;726508;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-05-29;2014-05-29;;;21889000;kWh;21585000;kWh;156;ppm
1979264;208253;Wind turbine - main gear;425;;Mobil Mobilgear XMP 320;2014-07-03;2014-06-12;;;470160;kWh;61810.1;;156;ppm
2042602;208200;Wind turbine - main gear;280;;Mobil Mobilgear XMP 320;2014-10-18;2014-08-28;;;;;;;156;ppm
2091535;446913;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2015-01-16;2015-01-14;500;l;;;41084;h;156;ppm
1965503;289846;WKA-Hauptgetriebe;425;;Mobil Mobilgear XMP 320;2014-05-21;2013-10-15;;;;;;;157;ppm
2074807;208253;Wind turbine - main gear;425;l;Mobil Mobilgear XMP 320;2014-12-15;2014-06-12;20;l;492950;kWh;65112.7;h;157;ppm
2037923;446939;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-10-08;2014-09-04;;;;;37715;h;157;ppm
1844604;441222;Wind turbine - main gear;330;;Mobil Mobilgear XMP 320;2013-11-01;2012-06-01;;;8345000;kWh;37378;kWh;158;ppm
1834589;100452;WKA-Hauptgetriebe;300;;Mobil Mobilgear XMP 320;2013-10-16;2012-09-11;;;;;;;158;ppm
2049054;726514;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;;2014-05-23;;;;;;;158;ppm
1828747;405593;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-10-06;2013-03-01;;;4000;;39459.23;;159;ppm
2069329;313263;WKA-Hauptgetriebe;370;;Mobil Mobilgear XMP 320;2014-11-19;2013-05-30;;;;;57841;h;159;ppm
1992742;516372;WKA-Hauptgetriebe;330;;Mobil Mobilgear XMP 320;2014-07-08;2013-10-07;;;;;;;159;ppm
2049052;726488;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-04;2014-05-24;;;;;;;159;ppm
2083834;217477;Wind turbine - main gear;425;;Mobil Mobilgear XMP 320;2015-01-08;2014-09-08;;;48864000;kWh;65681.98;h;159;ppm
2054331;319018;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-10-03;2014-04-01;;;31303000;kWh;48214;kWh;160;ppm
2037925;422054;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-09-14;2014-09-04;;;;;36431;h;160;ppm
1828751;405588;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-10-04;2013-03-01;;;4000;h;39974.47;h;161;ppm
2092555;609473;Wind turbine - main gear;380;;Mobil Mobilgear XMP 320;2015-01-23;2014-10-16;;;15850;;;;161;ppm
1936679;733780;Wind turbine - main gear;340;l;Mobil Mobilgear XMP 320;2014-04-09;;400;l;2080000;kW;4290;h;161;ppm
1936699;733796;Wind turbine - main gear;340;l;Mobil Mobilgear XMP 320;2014-04-22;;60;l;2529000;kWh;4271;h;161;ppm
1855017;328275;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-11-25;2013-10-24;;;;;51122;h;162;ppm
1895058;328276;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-01-27;2013-10-24;;;;;;;162;ppm
1934012;396884;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-04-11;2014-04-11;;;;;;;162;ppm
2036000;132515;Wind turbine - main gear;300;;Mobil Mobilgear XMP 320;2014-10-10;2014-06-12;;;19445;kWh;73170;kWh;162;ppm
1926421;446913;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-03-27;;;;;;35396;h;162;ppm
1954199;733797;Wind turbine - main gear;360;l;Mobil Mobilgear XMP 320;2014-05-23;;40;l;2863000;kWh;5175;h;162;ppm
1829817;590212;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2013-10-07;2011-12-31;;;13954;h;13954;h;163;ppm
1935783;258644;Énergie éolienne ligne - engrenage principale;425;;Mobil Mobilgear XMP 320;2014-03-07;2013-11-28;;;;;;;163;ppm
1858565;217477;Wind turbine - main gear;425;l;Mobil Mobilgear XMP 320;2013-12-03;2012-11-13;20;l;5774000;kWh;7501.42;;164;ppm
1895055;328273;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-02-12;2013-10-23;;;;;52948;h;164;ppm
2054340;409686;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-07;2014-10-24;;;;;;;164;ppm
2048176;430656;Wind turbine - main gear;350;l;Mobil Mobilgear XMP 320;2014-10-31;2014-10-30;380;l;;;47175;;164;ppm
1967724;415776;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;36626000;kWh;35072;;165;ppm
1834204;590211;WKA-Hauptgetriebe;400;l;Mobil Mobilgear XMP 320;2013-10-02;2012-01-10;;l;1;h;12722;h;166;ppm
1960017;726493;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-05-22;2014-05-22;;;22170000;kWh;21818000;kWh;166;ppm
1960016;726500;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-05-31;2014-05-31;;;27763000;kWh;21539000;kWh;166;ppm
2072844;405584;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-29;2014-06-01;;;2047000;kWh;49559;h;166;ppm
1952509;428253;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-05-22;2012-04-01;;;;;;;167;ppm
1828753;405584;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-10-02;2013-03-01;;;4000;h;39692.98;h;167;ppm
2054389;405588;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-10-02;2014-07-01;;;38325000;kWh;48491;h;167;ppm
2054385;405593;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-09-29;2014-07-01;;;32545000;kWh;47760;h;167;ppm
2092554;609474;Wind turbine - main gear;380;;Mobil Mobilgear XMP 320;2015-01-23;2014-10-15;;;15822;;;;167;ppm
1967728;392024;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;36848000;kWh;36264;;168;ppm
1995219;516372;WKA-Hauptgetriebe;330;;Mobil Mobilgear XMP 320;2014-08-01;2013-04-15;;;;;;;169;ppm
1967730;553004;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;19237000;kWh;18534;;169;ppm
1967729;560962;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;18947000;kWh;18967;h;169;ppm
1960012;726488;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-05-24;2014-05-24;;;24308000;kWh;21843000;kWh;169;ppm
1960018;726501;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-05-26;2014-05-26;;;22584000;kWh;22286;kWh;169;ppm
1960015;726494;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-05-27;2014-05-27;;;21046000;kWh;21756000;kWh;169;ppm
1960021;726511;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-05-27;2014-05-27;;;22046000;kWh;21756000;kWh;169;ppm
1985565;428228;Wind turbine - main gear;450;;Mobil Mobilgear XMP 320;2014-07-16;2014-06-11;;;;;36000;;169;ppm
1979261;208206;Wind turbine - main gear;300;;Mobil Mobilgear XMP 320;2014-07-04;2014-06-13;;;194417;kWh;61172;;169;ppm
2016164;253017;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-09-11;2014-09-10;;;;;53306;h;169;ppm
2054540;409691;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-07;2014-10-23;;;;;;;169;ppm
2054539;409689;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-07;2014-10-24;;;;;;;169;ppm
1967731;392025;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;36917000;kWh;36802;;170;ppm
2079289;208206;Wind turbine - main gear;300;;Mobil Mobilgear XMP 320;2014-12-26;2014-06-13;;;209773;kWh;6499.7;kWh;170;ppm
1851616;421282;Énergie éolienne ligne - engrenage principale;500;;Mobil Mobilgear XMP 320;2013-11-04;2012-06-28;;;;;;;171;ppm
1936450;405584;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-04-07;2013-02-21;;;5218;h;42367.8;h;171;ppm
1895057;328274;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-02-04;2013-10-23;;;42539000;kWh;53544;h;171;ppm
1890528;392016;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;;2013-10-25;;;30006;kWh;26342;kWh;171;ppm
2078512;534214;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-12-01;2014-08-11;;;18521000;kWh;26724.45;h;171;ppm
1880924;590211;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2014-01-21;;;;17418;h;17418;h;171;ppm
1880926;670829;WKA-Hauptgetriebe;600;;Mobil Mobilgear XMP 320;2014-01-15;;;;8428;h;8428;h;171;ppm
2097185;740193;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2013-08-26;;;;540;h;540;h;171;ppm
1936451;405588;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-03-13;2013-02-03;;;8476;h;43908.98;h;172;ppm
1838963;717899;Wind turbine - main gear;470;;Mobil Mobilgear XMP 320;2013-10-30;2013-05-10;;;;;;;172;ppm
1985566;428230;Wind turbine - main gear;450;;Mobil Mobilgear XMP 320;2014-07-17;2014-06-11;;;;;36000;;172;ppm
2078515;534221;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2014-11-19;2014-08-01;;;23367000;kWh;26048.04;h;172;ppm
2082056;437427;Wind turbine - main gear;340;l;Mobil Mobilgear XMP 320;2014-12-22;2014-09-09;20;l;1245000;kWh;1983000;kWh;172;ppm
2048179;430655;Wind turbine - main gear;350;l;Mobil Mobilgear XMP 320;2014-10-31;2014-10-30;380;l;;;47020;;172;ppm
1890470;681429;WKA-Hauptgetriebe;500;;Mobil Mobilgear XMP 320;2014-01-13;;;;6252000;kWh;6908;kWh;172;ppm
1935325;313263;WKA-Hauptgetriebe;370;;Mobil Mobilgear XMP 320;2014-04-24;2013-05-30;;;;;53009;h;173;ppm
2011210;430686;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-09-02;2014-09-01;365;l;;;42727;h;173;ppm
2028604;437427;Wind turbine - main gear;340;l;Mobil Mobilgear XMP 320;2014-09-23;2014-09-09;340;l;121;;244;;173;ppm
1838213;334359;Wind turbine - main gear;320;;Mobil Mobilgear XMP 320;2013-11-05;;;;20523;h;50216;h;173;ppm
1967795;392030;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;36696000;kWh;35941;;174;ppm
1960030;726495;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-05-31;2014-05-31;;;21368000;kWh;20940000;kWh;174;ppm
2048162;430659;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-10-29;2014-10-28;380;l;;;46909;h;174;ppm
2048165;430658;Wind turbine - main gear;350;l;Mobil Mobilgear XMP 320;2014-10-30;2014-10-30;380;l;;;46983;;174;ppm
2090068;431441;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2015-01-19;2015-01-13;;;146871;kWh;34527;h;174;ppm
1939174;421282;Énergie éolienne ligne - engrenage principale;500;;Mobil Mobilgear XMP 320;2014-04-03;2012-06-28;;;;;;;175;ppm
1828752;405587;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-10-03;2013-03-01;;;4000;h;40018.08;h;175;ppm
1927572;726520;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-03-31;2013-06-14;;;;;;;175;ppm
1912680;208206;Wind turbine - main gear;300;;Mobil Mobilgear XMP 320;2014-03-11;2013-07-12;;;187327;kWh;58668.2;kWh;175;ppm
1945042;431451;Wind turbine - main gear;330;;Mobil Mobilgear XMP 320;2014-05-01;2012-06-01;;;;;;;177;ppm
1958653;422057;Wind turbine - main gear;350;;Mobil Mobilgear XMP 320;2014-05-29;2014-05-14;;;;;35787;h;177;ppm
1960031;726519;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-05-26;2014-05-26;;;22286000;kWh;22584000;kWh;177;ppm
1985563;428227;Wind turbine - main gear;450;;Mobil Mobilgear XMP 320;2014-07-16;2014-06-11;;;;;36000;;177;ppm
2093139;208200;Wind turbine - main gear;280;l;Mobil Mobilgear XMP 320;2014-12-12;2014-08-20;20;l;;;;;177;ppm
2054344;409694;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-07;2014-10-23;;;;;;;177;ppm
1840522;154936;Wind turbine - main gear;320;;Mobil Mobilgear XMP 320;2013-10-23;;;;1850500;kWh;18380;;177;ppm
